simple-polygon_10_272aa6ea,8,3,0.795394,5,1,0.418221,24,7,0.0146479,0
simple-polygon_10_297edd18,10,4,0.709573,6,0,1.48491,16,9,0.00519702,1
simple-polygon_20_0dda68ed,22,8,0.677846,11,6,0.397945,46,13,0.116924,9
simple-polygon_20_35585ee3,17,12,0.268127,5,8,0.0719414,51,16,0.00543369,1
simple-polygon_20_4bd3c2e5,18,6,0.71496,9,3,0.407249,56,17,0.0028194,1
simple-polygon_40_12969fc3,36,20,0.422587,12,9,0.25206,96,28,0.126597,5
simple-polygon_60_0347cd75,72,50,0.208611,19,49,0.124638,81,67,0.122066,4
simple-polygon_60_17af118a,61,39,0.279543,15,30,0.0814271,77,57,0.0119325,1
simple-polygon_80_48c9df87,89,56,0.277747,25,48,0.202284,115,73,0.0722865,3
simple-polygon_80_7b8f6c4c,40,10,0.879292,27,5,0.737905,56,37,0.0112825,1
simple-polygon_100_4b4ba391,65,36,0.320097,24,32,0.20368,95,54,0.346447,2
simple-polygon_100_4ee8f447,101,67,0.249598,27,62,0.0674563,95,89,0.151548,7
